,SYMBOL
1963,TRIL
1964,TRITURBINE
1965,TRIVENI
1966,TTKHLTCARE
1967,TTKPRESTIG
1968,TTL
1969,TTML
1970,TV18BRDCST
1972,TVSMOTOR
1973,TVSSRICHAK
1974,TVTODAY
1976,TWL
1977,UBL
1978,UCALFUEL
1979,UCL
1981,UFLEX
1982,UFO
1983,UGARSUGAR
1984,UGROCAP
1985,UJAAS
1986,UJJIVAN
1987,UJJIVANSFB
1988,ULTRACEMCO
1989,UMANGDAIRY
1991,UNICHEMLAB
1992,UNIDT
1993,UNIENTER
1994,UNIINFO
1995,UNIONBANK
1997,UNITEDTEA
1998,UNIVASTU
1999,UNIVCABLES
2000,UNIVPHOTO
2001,UPL
2002,URJA
2003,USHAMART
2005,UTIBANKETF
2006,UTINEXT50
2007,UTINIFTETF
2010,UTTAMSTL
2011,UTTAMSUGAR
2012,V2RETAIL
2013,VADILALIND
2015,VAISHALI
2017,VALIANTORG
2018,VARDHACRLC
2019,VARDMNPOLY
2020,VARROC
2021,VASCONEQ
2022,VASWANI
2023,VBL
2024,VCL
2025,VEDL
2026,VENKEYS
2027,VENUSREM
2029,VESUVIUS
2032,VHL
2033,VICEROY
2034,VIDHIING
2035,VIJAYA
2036,VIJIFIN
2037,VIKASECO
2041,VIMTALABS
2042,VINATIORGA
2045,VINYLINDIA
2046,VIPCLOTHNG
2047,VIPIND
2048,VIPULLTD
2049,VISAKAIND
2052,VISHNU
2054,VIVIDHA
2055,VIVIMEDLAB
2056,VLSFINANCE
2057,VMARCIND
2059,VOLTAMP
2060,VOLTAS
2061,VRLLOG
2062,VSSL
2064,VSTTILLERS
2065,VTL
2066,WABAG
2067,WABCOINDIA
2068,WALCHANNAG
2069,WALPAR
2071,WATERBASE
2072,WEALTH
2073,WEBELSOLAR
2074,WEIZMANIND
2075,WELCORP
2076,WELENT
2077,WELINV
2078,WELSPUNIND
2079,WENDT
2080,WESTLIFE
2082,WHEELS
2083,WHIRLPOOL
2085,WINDLAS
2086,WINDMACHIN
2089,WOCKPHARMA
2090,WONDERLA
2092,WSTCSTPAPR
2093,XCHANGING
2094,XELPMOC
2095,XPROINDIA
2096,YAARII
2098,YUKEN
2099,ZEEL
2100,ZEEL
2101,ZEELEARN
2102,ZEEMEDIA
2104,ZENSARTECH
2105,ZENTEC
2106,ZODIAC
2107,ZODIACLOTH
2109,ZOTA
2110,ZUARI
2111,ZUARIGLOB
2112,ZYDUSWELL
